title,videoIDS,video_description,publishedDate,likes,dislikes,views,comment
Applications and equivalence of vector norms,UkYKyelb5Wc,"Applications and equivalence of vector norms

Uses of norms, Algebraic properties of norms, Equivalence of norms",2021-05-22T07:31:15Z,4,0,236,0
Vector norms and their properties,3XOM2g53bNI,"Vector norms and their properties

Properties of vector norms, Inner products, Norms induced by inner products",2021-05-22T07:16:29Z,2,0,256,0
Introduction to norms and inner products,iA7MnBhkXvQ,Introduction to norms and inner products,2021-05-22T07:07:43Z,2,0,214,0
Properties of determinants,YY0lV8_HnTY,"Properties of determinants

Properties and uses of Determinants, Norms and Inner product definitions,",2021-05-22T06:53:04Z,3,0,205,0
Determinant,fnGngke4g_s,"Determinant

Definition of Determinant, Properties of Determinant",2021-05-22T06:28:53Z,4,0,369,1
Orthonormal matrices definition,J-BCvUALQyQ,"Orthonormal matrices definition

Definition of orthonormal matrix, Equivalent definitions of orthonormal matrices",2021-05-22T06:10:49Z,6,0,394,0
"Gram-schmidt algorithm,",K_AOn_zwM-o,"Gram-schmidt algorithm,

Definition of orthonormal basis, Gram-Schmidt algorithm",2021-05-22T06:00:41Z,6,0,347,0
Inner product,CLE8NpJOGOI,"Inner product

Different representation of  Matrix Multiplication, Inner  Product, Orthogonality, Cauchy-Schwarz Inequality",2021-05-22T05:45:53Z,6,0,303,1
Properties of rank,VRkzg59ua2w,"Properties of rank

Sylvester-Inequality, Frobenious-Inequality, Sub-additivity property of rank",2021-05-22T05:35:55Z,5,0,267,0
Fundamental theorem of linear algebra,ezt2QGeNlnw,"Fundamental theorem of linear algebra

 Fundamental theorem of linear algebra",2021-05-22T05:28:19Z,10,0,266,0
Fundamental subspaces of a matrix,vLaDX3nRgok,"Fundamental subspaces of a matrix

""Four Fundamental subspaces of a matrix,
Relation between dimension of the spaces and rank of the matrix""",2021-05-22T05:09:17Z,4,0,301,0
Linear transforms,yoTWRBC_dg8,"Linear transforms

Linear transforms, vector spaces associated with a linear transform/matrix, range space/column space",2021-05-22T04:58:45Z,16,0,649,0
"Basis, dimension",ZGmJnG7DGR4,"Basis, dimension

Basis for a Vector Space, basis theorem, properties of a basis",2021-05-22T04:45:28Z,84,0,2292,5
Vector spaces,sKQtUYfEHII,"Vector spaces

Vector space, Field, Linear combination, Span, Range space, Subspace of a vector space",2021-05-22T04:33:41Z,52,2,1290,3
Course introduction and properties of matrices,jqU0q21PHEQ,"Course introduction and properties of matrices

Course introduction, Properties of matrices, Matrix multiplication, Trace of a matrix, Matrix transpose, Hermitian matrix",2021-05-22T04:19:57Z,115,0,3567,8
Five Reasons to study Data Science,itvZBkcltxs,"Five Reasons to study Data Science
Mr. Shreyas Bhargave
Director (Technology), Capgemini Technology Services India Ltd.",2021-05-21T08:06:15Z,42,0,1346,1
Importance of Communication Skills in IT Sector,1Pyuxyu_jhU,"Importance of Communication Skills in IT Sector
Mr. Sajjad Ahmed
Director - HR, Capgemini",2021-05-21T08:02:30Z,141,2,2583,5
Five Reasons to Study Data Science,IZ2NkJiotVs,"Five Reasons to Study Data Science
Dr. Prasad Ramanathan
Sr. Director, Capgemini Technology Services India Ltd.",2021-05-21T07:56:15Z,64,2,1179,4
"LIVE _ NPTEL Awareness workshop in association with Institute of Excellence in Mgmt Science, Hubli",dvpt42Rm_WQ,"Please fill this feedback form to obtain an e-participation certificate : https://tinyurl.com/NPTEL-Awareness-Workshop-May21


NPTEL Awareness workshop in association with INSTITUTE OF EXCELLENCE IN MANAGEMENT SCIENCE, HUBLI, KARNATAKA And K.L.E.DR. M. S. SHESHGIRI COLLEGE OF ENGINEERING AND TECHNOLOGY, UDYAMBAG, BELAGAVI, KARANATAKA",2021-05-12T11:09:36Z,781,14,15425,10
"LIVE_ NPTEL Awareness workshop in association with Brainware University, Barasat, West Bengal",vw63sIqMcB0,"Please fill this feedback form to obtain an e-participation certificate : https://tinyurl.com/NPTELAwarenessWorkshop-May19

NPTEL Awareness workshop in association with Brainware University, Barasat, West Bengal",2021-05-12T11:08:04Z,648,12,13719,5
IITMadras_NPTEL studio Inauguration 26th March 2021,6qC7MFJynG4,,2021-04-15T09:44:29Z,413,10,15087,41
nptelhrd Live Stream,ACJYmMgVy5A,,2020-09-21T06:25:53Z,78,33,7621,19
Symmetry and Group Theory,fqMJU5KYoTw,Prof. Jeetender Chugh - IISER PUNE,2021-02-09T09:56:44Z,177,6,6117,6
Awareness Workshop on Credit Transfer and Domain Certification,4Z1FjYXdazk,,2021-02-01T04:59:30Z,354,17,8891,5
Hydro Turbomachines - Francis turbine-Part-02,MtueN0ByKIs,"Hydro Turbomachines - Francis turbine-Part-02

Off-design operaion using inlet guide vanes, Draft tube, Effective head

Prof. Babu Viswanathan
Introduction to Turbomachines
IIT Madras",2021-01-12T07:06:08Z,24,1,2796,5
Thermal Turbomachines-Part-02,vfSm89HwMoc,"Thermal Turbomachines-Part-02

Worked example


Prof. Babu Viswanathan
Introduction to Turbomachines
IIT Madras",2021-01-12T07:08:05Z,15,1,1354,0
Thermal Turbomachines-Part-01,tBOvmL04LGw,"Thermal Turbomachines-Part-01

Degree of reaction of a stage, Worked example

Prof. Babu Viswanathan
Introduction to Turbomachines
IIT Madras",2021-01-12T07:07:59Z,16,1,1467,1
Thermal Turbomachines - Steam Turbines,I6ali5qxu6I,"Thermal Turbomachines - Steam Turbines

Impulse and reaction steam turbines, Velocity compunding, Pressure compounding and Velocity and pressure compounding

Prof. Babu Viswanathan
Introduction to Turbomachines
IIT Madras",2021-01-12T07:07:44Z,16,0,1571,0
Thermal Turbomachines - Gas turbines,VvCvrOQ9NsM,"Thermal Turbomachines - Gas turbines

Stationary and aircraft engine application, Design and off-sesign operation, Variable guide vanes, Multi-spools, Counter rotating turbines, Blade cooling

Prof. Babu Viswanathan
Introduction to Turbomachines
IIT Madras",2021-01-12T07:07:29Z,20,0,1511,2
Thermal Turbomachines - Introduction,ZevnM-couyQ,"Thermal Turbomachines - Introduction

Introduction to thermal turbomachines -- steam and gas turbines, Axial flow reaction and impulse machines, single stage and multistage machines, axial compressors

Prof. Babu Viswanathan
Introduction to Turbomachines
IIT Madras",2021-01-12T07:07:12Z,19,2,1034,0
Positive Displacement Pumps - Gear pump,6dt0aH2LBKU,"Positive Displacement Pumps - Gear pump

Positive displacement machines vs. turbomachines, Gear pump, Characteristics, Effect of viscosity, Worked example


Prof. Babu Viswanathan
Introduction to Turbomachines
IIT Madras",2021-01-12T07:06:56Z,13,0,1131,0
Hydro Turbomachines - Pelton turbine,hJA7jPiceTg,"Hydro Turbomachines - Pelton turbine

Impulse turbine, Pelton turbine, Multiple jets, Optimum speed, Optimum penstock dimension, Worked example, Specific speed, Turbine selection chart

Prof. Babu Viswanathan
Introduction to Turbomachines
IIT Madras",2021-01-12T07:06:32Z,8,0,1067,0
Hydro Turbomachines - Kaplan turbine,b7kTKdEISHc,"Hydro Turbomachines - Kaplan turbine

Reaction turbine, Axial turbine, Kaplan turbine, Design operating condition, Worked example

Prof. Babu Viswanathan
Introduction to Turbomachines
IIT Madras",2021-01-12T07:06:18Z,10,1,900,0
Hydro Turbomachines - Francis turbine-Part-01,utOHXJvqI9o,"Hydro Turbomachines - Francis turbine-Part-01

Reaction turbine, Radial turbine, Francis turbine, Design operating condition, Worked examples

Prof. Babu Viswanathan
Introduction to Turbomachines
IIT Madras",2021-01-12T07:05:58Z,16,0,1158,0
Hydro Turbomachines - Centrifugal pumps-Part-04,jdQcaHlopfU,"Hydro Turbomachines - Centrifugal pumps-Part-04

Types of pumps, specific speed, classification using specific speed

Prof. Babu Viswanathan
Introduction to Turbomachines
IIT Madras",2021-01-12T07:03:18Z,4,0,811,0
Hydro Turbomachines - Centrifugal pumps-Part-03,wcFNgPen_5o,"Hydro Turbomachines - Centrifugal pumps-Part-03

Worked example involving actual characteristic of a centrifugal pump, effect of impeller diameter and speed, dimensionless characteristics

Prof. Babu Viswanathan
Introduction to Turbomachines
IIT Madras",2021-01-12T07:02:57Z,4,0,1113,1
Hydro Turbomachines - Centrifugal pumps-Part-02,_-yk5GwFnKM,"Hydro Turbomachines - Centrifugal pumps-Part-02

Actual characteristics of Centrifugal pumps, Unstable characteristic, Cavitation, Design operating point, Net Positive Suction Head, NPSH available and required, Worked example

Prof. Babu Viswanathan
Introduction to Turbomachines
IIT Madras",2021-01-12T07:02:43Z,7,0,903,0
Hydro Turbomachines - Centrifugal pumps-Part-01,VQqiVVYuNks,"Hydro Turbomachines - Centrifugal pumps-Part-01

Simplification of the pressure rise across a rotor for an incompressible fluid, Efficiency, Theory of centrifugal pumps, Ideal characteristics, Forward, radial and backward curved blade, Worked example

Prof. Babu Viswanathan
Introduction to Turbomachines
IIT Madras",2021-01-12T07:02:29Z,6,3,827,0
Basic Theroy of Turbomachines-Part0-06,Io9sohnXYsw,"Basic Theroy of Turbomachines-Part0-06

Worked examples involving velocity triangles

Prof. Babu Viswanathan
Introduction to Turbomachines
IIT Madras",2021-01-12T07:02:23Z,6,1,550,0
Basic Theroy of Turbomachines-Part-05,bXdQq8QWURY,"Basic Theroy of Turbomachines-Part-05

Worked examples

Prof. Babu Viswanathan
Introduction to Turbomachines
IIT Madras",2021-01-12T07:02:15Z,10,1,636,0
Basic Theroy of Turbomachines-Part-04,PxXYe12zNs0,"Basic Theroy of Turbomachines-Part-04

Relation between pressure change and relative velocity, Interpretation of velocity triangles

Prof. Babu Viswanathan
Introduction to Turbomachines
IIT Madras",2021-01-12T07:02:08Z,4,0,659,0
Basic Theroy of Turbomachines-Part-03,gJcSiF4yuaM,"Basic Theroy of Turbomachines-Part-03

Illustration of an axial machine rotor process on a Ts diagram, Degree of reaction, Impulse and reaction machines, Connection between rotor process and blade passage area


Prof. Babu Viswanathan
Introduction to Turbomachines
IIT Madras",2021-01-12T07:01:55Z,5,2,666,0
Basic Theroy of Turbomachines-Part-02,pQxGhR9KVOg,"Basic Theroy of Turbomachines-Part-02

Alternate forms of Euler's turbomachinery equation, Connection between thermodynamics and fluid mechanics of turbomachinery process, Variation of pressure along a streamline through the rotor, Illustration on a Ts diagram

Prof. Babu Viswanathan
Introduction to Turbomachines
IIT Madras",2021-01-12T07:01:42Z,67,1,2390,7
Basic Theroy of Turbomachines-Part-01,P1WOz65KWH4,"Basic Theroy of Turbomachines-Part-01

Euler's turbomachinery equation, Notion of blade element, Radial and axial machines, Relative velocity, Velocity triangle, Flow angle and blade angle definition and sign convention

Prof. Babu Viswanathan
Introduction to Turbomachines
IIT Madras",2021-01-12T07:01:30Z,57,0,2281,4
Introduction,ocVzrn4DLj8,"Introduction

Introduction to turbomachines, types, classification, practical examples

Prof. Babu Viswanathan
Introduction to Turbomachines
IIT Madras",2021-01-12T07:01:09Z,78,1,6201,9
NPTEL Awareness Online Workshop - Tuesday (Kerala ) for faculty,Poro35jCBWM,Please ask your questions/comments through this Google form: http://tiny.cc/Jan-19_Faculty_Feedback,2020-12-29T11:47:19Z,147,6,4850,1
NPTEL Awareness Online Workshop - Tuesday  (Kerala ) for Students,rsQ_Xtm0UXg,Please ask your questions/comments through this Google form: http://tiny.cc/Jan-19_Student_Feedback,2020-12-29T11:50:03Z,164,8,4995,2
NPTEL Awareness Online Workshop - Wednesday (Odisha/ NE / Chhattisgarh / Jharkhand) for Faculty,ITc-v4ucf0M,Please ask your questions/comments through this Google form: http://tiny.cc/Jan-13_Faculty_Feedback,2021-01-13T04:18:11Z,189,4,4962,4
NPTEL Awareness Online Workshop - Wednesday (Odisha/ NE / Chhattisgarh / Jharkhand) for Studnets,Fhzh4wg2cik,Please ask your questions/comments through this Google form: http://tiny.cc/Jan-13_Student_Feedback,2021-01-13T04:18:33Z,83,0,2412,3
NPTEL Awareness Online Workshop - Wednesday (Odisha/ NE / Chhattisgarh / Jharkhand) for Studnets,5Y7_x8UdG34,,2020-12-29T11:45:36Z,83,0,2283,0
NPTEL Awareness Online Workshop - Wednesday (Odisha/ NE / Chhattisgarh / Jharkhand) for faculty,6qaCv45EM3Q,,2020-12-29T11:44:07Z,58,4,1951,2
NPTEL Awareness Online Workshop - Tuesday for faculty,Rivul1t3Q94,Please ask your questions/comments through this Google form: http://tiny.cc/Jan-12_Faculty_Feedback,2020-12-29T11:39:14Z,334,16,7643,2
NPTEL Awareness Online Workshop - Tuesday for Students,GMhszSuWsvg,Please ask your questions/comments through this Google form: http://tiny.cc/Jan-12_Student_Feedback,2020-12-29T11:39:58Z,464,8,10238,9
The NPTEL certification and course that he took up helped Vinoth in cracking job interviews,4es_jhBmokE,"Vinoth Kumar from KLN College of Engineering, Tamil Nadu feels that the NPTEL course he took up came in handy during the job interviews, where he was able to ace the rounds and bag the offer. He currently works at Mesco Aerospace Work Centre CSIR - National Aerospace Laboratories as a Composite Tool Designer.",2020-10-28T12:23:26Z,348,10,18757,20
LIVE - Applied Linguistics,sGAMj3qkbAM,Prof. Rajesh Kumar - IITM,2020-09-24T05:16:23Z,120,8,6204,3
LIVE - Introduction to Developmental Biology,CjZczOphnwU,Prof. Subramaniam K - IITM,2020-09-24T05:29:05Z,153,8,5874,6
LIVE - Ecology and Environment,EJT8IojTWEQ,Prof. R.Ravi Krishna - IITM,2020-09-25T05:54:28Z,164,8,5089,5
LIVE _ NPTEL Awareness Workshop,w_lInSoh-bs,"NPTEL Awareness Webinar organized by G H Raisoni University, Amravati and NPTEL, IIT Madras.This webinar will cover details related to NPTEL Online Certification process and how colleges can partner with NPTEL as Local Chapters.

A feedback form for the participants will be opened during the session and closed within 15 minutes of the end of the webinar. E-Certificates will be provided only to the participants who are pre-registered to the workshop and submitted the feedback form.

Feedback form linkhttps://forms.gle/D2ejriC7gZGXSfZm8",2020-09-02T10:18:44Z,574,28,14749,5
NPTEL Impact & Infrastructure,oZ7x_jcCEmQ,,2020-08-21T08:34:59Z,102,5,5161,21
Live_NPTEL AWARENESS Workshop 18th Aug 2020,LKCErtLN2Gw,"NPTEL Awareness Webinar organized by Pallavi Engineering College, Telangana and NPTEL, IIT Madras.This webinar will cover details related to NPTEL Online Certification process and how colleges can partner with NPTEL as Local Chapters.

A feedback form for the participants will be opened in the second half of the session and closed within 15 minutes of the end of the webinar. E-Certificates will be provided only to the participants who are pre-registered to the workshop and submitted the feedback form.

Feedback form link: https://forms.gle/zvkEpcpfSAgVC6Z7A",2020-08-07T08:48:30Z,371,12,11345,2
Live_NPTEL AWARENESS Workshop 13th Aug 2020,sB1_zCQ8UMk,"NPTEL Awareness Webinar organized by Galgotias University and NPTEL, IIT Madras.This webinar will cover details related to NPTEL Online Certification process and how colleges can partner with NPTEL as Local Chapters.

A feedback form for the participants will be opened during the session and closed within 15 minutes of the end of the webinar. E-Certificates will be provided only to the participants who are pre-registered to the workshop and submitted the feedback form.

Feedback form link: https://forms.gle/t2cmau68jt6zmvzq9",2020-08-07T08:47:06Z,347,17,11446,12
NPTEL Domain Certification,peIFYcP7zbI,NPTEL Domain Certification,2020-08-03T05:00:54Z,664,10,35436,50
Joy of Computing has brought joy in Ajay's programming activities,fJK62qKrHS4,"Ajay from R C Patel Institute of Technology, Maharashtra elucidates how taking up the course Joy of Computing in Python has changed his perspective of programming. He credits that the course for helping him develop logical skills. He is with a company called Sunlink Photovoltaic, at present.",2020-07-31T04:21:12Z,52,3,3376,4
When an NPTEL course faciliatated Punita Jani in learning Data Science concepts from the scratch,H6-yDKimzM0,"For Punita Jani who works as a consultant at ATOS Syntel, the NPTEL course on data science that she took helped her learn data science from scratch. She already had the experience of working on data analytics and wished to learn data science, going further.",2020-07-31T04:21:07Z,40,1,4622,1
Athar says that NPTEL courses gave him industry relevant knowledge,zvzuLxXjd5U,"Athar Nawaz Shah from Amity School of Engineering and Technology, Uttar Pradesh believes that NPTEL courses helped him in getting knowledge relevant to the industry in addition to gaining knowledge in a particular domain.",2020-07-31T04:21:02Z,24,2,1869,0
Pranay credits NPTEL courses for giving clarity on the various subject concepts,ueBaoqKP71k,"Pranay Sharma from Army Institute of Technology, Pune, Maharashtra says that NPTEL courses have helped him understand concepts with greater clarity. He works as a Technical Specialist in Cummins Inc.",2020-07-31T04:20:57Z,36,1,1561,3
NPTEL courses have aided Raghavendra Chowdery in cracking GATE 2020 with an AIl India Rank of 62,D8iQcL89mn4,"The various courses that Raghavendra Chowdery from Guru Nanak Institutions Technical Campus , Telangana did aided him in geting an All India Rank (AIR) of 62 in the GATE-2020 examination. This helped him secure a seat in IIT-Bombay.",2020-07-31T04:20:53Z,88,1,4224,4
Taking up NPTEL courses helped Bikash ace his interviews,wBcYz6rYLUs,"Taking up NPTEL courses aided Bikash Kumar Singh from Guru Nanak Institute of Technology, West Bengal in coming out with flying colours in all his interviews. He has been recruited by ITC Infotech for the designation of an Associate IT Consultant.",2020-07-09T07:27:57Z,97,6,4925,3
NPTEL courses aided Hanuma Kumar in bagging a job,ZSF6iDUtaUU,"Hanuma Kumar from KKR and KSR Institute of Technology and Sciences, Andhra Pradesh says that NPTEL courses helped him in performing well in the job interviews. He currently works as an Associate Professional Software Engineer at DXC Technologies.",2020-07-09T07:28:00Z,22,2,1622,0
LIVE _ NPTEL AWARENESS Workshop 30th July 2020,pzwJHQunuj0,"NPTEL Awareness Webinar organized by MES College ,Erumely and NPTEL, IIT Madras.This webinar will cover details related to NPTEL Online Certification process and how colleges can partner with NPTEL as Local Chapters.

A feedback form for the participants will be opened during the session and closed within 15 minutes of the end of the webinar. Participation Certificate will be issued to pre-registered candidates based on the response to feedback form  

Feedback form link: https://forms.gle/VtjZGGqCxEb9bHo49",2020-07-25T11:15:56Z,270,11,8273,3
LIVE _ NPTEL Awareness E- Workshop 2020,Hnq4XRaie-E,"NPTEL Awareness Webinar organized by SHREE RAYESHWAR INSTITUTE OF ENGINEERING & INFORMATION TECHNOLOGY, GOA and NPTEL, IIT Madras.This webinar will cover details related to NPTEL Online Certification process and how colleges can partner with NPTEL as Local Chapters.

A feedback form for the participants will be opened during the session and closed within 15 minutes of the end of the webinar. E-Certificates will be provided only to the participants who are pre-registered to the workshop and submitted the feedback form.

Feedback form link: https://forms.gle/XMciBzEzEX2NS1sm7",2020-07-17T04:44:49Z,199,13,7275,6
LIVE _ NPTEL AWARENESS Workshop 28th July 2020,9YBEZlsWGjQ,"NPTEL Awareness Webinar organized by Bheemanna Khandre Institute of Technology, Bhalki and NPTEL, IIT Madras.This webinar will cover details related to NPTEL Online Certification process and how colleges can partner with NPTEL as Local Chapters.",2020-07-27T08:47:14Z,471,11,13287,11
LIVE _ NPTEL AWARENESS Workshop,keF1Z55Faxs,"NPTEL Awareness Webinar organized by MARUDHAR KESARI JAIN COLLEGE FOR WOMEN and NPTEL, IIT Madras.This webinar will cover details related to NPTEL Online Certification process and how colleges can partner with NPTEL as Local Chapters.

A feedback form for the participants will be opened during the session and closed within 15 minutes of the end of the webinar.

Feedback form link: https://forms.gle/4vJLjSomAgHXZKu1A",2020-07-25T10:57:40Z,267,15,10650,199
LIVE _ NPTEL Awareness E- Workshop 2020,TXK0YPb9J5I,"NPTEL Awareness Webinar organised by Sir M. Visvesvaraya Institute of Technology, Bangalore and NPTEL , IIT Madras.This webinar will cover details related to NPTEL Online Certification process and how colleges can partner with NPTEL as Local Chapters.

A feedback form for the participants will be opened during the session and closed within 15 minutes of the end of the webinar.

Feedback form link: https://forms.gle/m6tKsZzjxotwiP5G6",2020-07-17T04:43:52Z,339,10,10946,5
LIVE _ NPTEL Awareness E- Workshop 2020,2COEa-Rs094,"NPTEL Awareness Webinar Organized by Anjuman-I-Islam's Kalsekar Technical Campus,Panvel and NPTEL IIT Madras.This webinar will cover details related to Nptel Online Certification process and how colleges can partner with Nptel as Local Chapters
A quiz for participants will be announced during the session, and a response to quiz can be submitted at  https://forms.gle/LUFvNnvHwuSwyi2C6
The form will  be opened when quiz is announced in the session and closed within 15 minutes of end of webinar. E-Certificate for participation will be issued , based on this quiz response, only for participants who have registered earlier.",2020-07-17T04:42:42Z,298,16,8654,7
LIVE _ NPTEL Awareness E- Workshop 2020,PPTmQpPL5eQ,"NPTEL Awareness Webinar Organized by VedaVyasa Institute of Technology,Malappuram  and NPTEL IIT Madras.This webinar will cover details related to Nptel Online Certification process and how colleges can partner with Nptel as Local Chapters
A quiz for participants will be announced during the session, and a response to quiz can be submitted at  https://forms.gle/viKqrq8c9xfKzagq7
The form will  be opened when quiz is announced in the session and closed within 15 minutes of end of webinar. E-Certificate for participation will be issued based on this quiz response.",2020-07-17T04:41:08Z,285,17,8968,16
LIVE _ NPTEL Awareness Workshop,cv4SSlqGxdY,"NPTEL Awareness Webinar Organized by Manipal University Jaipur and NPTEL IIT Madras.This webinar will cover details related to Nptel Online Certification process and how colleges can partner with Nptel as Local Chapters
A quiz for participants will be announced during the session, and a response to quiz can be submitted at https://forms.gle/Fhw9bvsRF6b8rutt8. The form will  be opened when quiz is announced in the session and within 15 minutes of end of webinar. E-Certificate for participation will be issued based on this quiz response.",2020-07-13T04:21:58Z,396,16,12314,11
NPTEL Awareness E - Workshop 2020,QgroJAPcoR8,"NPTEL Awareness Webinar organized by Mahakal Institute of Technology,Ujjain and NPTEL IIT Madras.This webinar will cover details related to Nptel Online Certification process and how colleges can partner with Nptel as Local Chapters
A quiz for participants will be announced during the session, and a response to quiz can be submitted at https://forms.gle/bFkGjbN4oi6jkJAq7. The form will  be opened when quiz is announced in the session and within 15 minutes of end of webinar. E-Certificate for participation will be issued based on this quiz response.",2020-07-17T04:39:22Z,611,16,15246,18
LIVE _ NPTEL Webinar on Credit Transfer Policy,5diEiUiCPEU,Link for the slides used in the video - https://drive.google.com/file/d/1qW6zHLybZYfPo0T-rgnef5ZIdVXkWWtM/view,2020-07-13T04:00:45Z,409,8,13348,13
Mohammed Fahim says he enjoyed the process of gaining expertise in Soft Skills,7uwgnINX8sE,"Being good with Soft Skills has always been a big plus when it comes to trying for a job. Mohammed Fahim from NSS Engineering College, Kerala mentions that after taking up the soft skills course on NPTEL, he has been able to gain a level of expertise in the area. He has got placed at UST Global.",2020-07-09T07:28:08Z,44,2,3049,8
Pritish Raj says that NPTEL courses aided him in bagging a job at Mu Sigma,BGUx7uZqCWo,"Pritish Raj from Sir M Visvesvaraya Institute of Technology, Karnataka credits NPTEL courses for aiding him in performing well in his placement rounds. He has got a job offer from Mu Sigma, wherein the designation is Decision Scientist.",2020-07-09T07:28:13Z,72,3,4122,3
NPTEL courses have helped Hari Gowtham in exploring new domains,RW7ptT52vsk,"Hari Gowtham from PES University, Bangalore says that NPTEL courses have aided him in exploring various domains and updating his knowledge. He has got a job offer from TVS Motors.",2020-07-09T07:28:03Z,28,2,2644,6
NPTEL Courses played a pivotal role in Vishwajeet's GATE Preparation,WTzRQqefx_w,"Vishwajeet Pandey from IIT Roorkee, Uttarakhand credits NPTEL courses for refining his basic concepts in his subjects and preparing the learners to give competitive exams.",2020-07-09T08:34:32Z,117,0,3490,2
